zipcode,dbscan_mean,gmm,count,dbscan_top
10001,0.7150890346766635,1.5960637300843485,1067,2
10002,0.6492578339747114,1.634414513468939,1819,3
10003,0.6034308779011099,1.6422805247225025,1982,15
10004,0.7647058823529411,1.6,255,10
10005,0.2537313432835821,1.5223880597014925,67,5
10006,0.12727272727272726,1.6181818181818182,55,2
10007,0.5491071428571429,1.6517857142857142,224,2
10009,0.7221081451060917,1.621492128678987,1461,3
10010,0.7708978328173375,1.6253869969040247,646,15
10011,0.6749435665914221,1.6442437923250564,2215,11
10012,0.8293620292083013,1.6464258262874711,1301,5
10013,0.6146458583433373,1.6110444177671068,1666,7
10014,0.7648456057007126,1.6470308788598576,2105,3
10016,0.8836720392431675,1.621583742116328,1427,6
10017,0.5470459518599562,1.5711159737417943,457,15
10018,0.7172619047619048,1.568452380952381,672,15
10019,0.6293592862935928,1.64882400648824,1233,1
10020,-0.07142857142857142,1.3571428571428572,14,1
10021,0.7121090617481957,1.6495589414595029,1247,5
10022,0.6688555347091932,1.623827392120075,1066,14
10023,0.6261755485893417,1.6253918495297806,1276,1
10024,0.5933701657458563,1.5950276243093922,1810,3
10025,0.5815154994259472,1.648105625717566,1742,7
10026,0.7785778577857786,1.603060306030603,1111,7
10027,0.6497125165855816,1.6218487394957983,2261,7
10028,0.5837837837837838,1.6401544401544401,1295,5
10029,0.6401028277634961,1.6420308483290489,1556,1
10030,0.46613545816733065,1.606374501992032,1255,9
10031,0.672,1.632,1625,11
10032,0.7008032128514057,1.5903614457831325,996,0
10033,0.5567010309278351,1.615979381443299,776,1
10034,0.6463022508038585,1.6189710610932475,622,14
10035,0.6260869565217392,1.622742474916388,1495,2
10036,0.6641294005708849,1.6660323501427212,1051,8
10037,0.8304498269896193,1.5951557093425606,289,14
10038,0.6775067750677507,1.6368563685636857,369,0
10039,0.6656891495601173,1.7126099706744868,341,7
10040,0.7369519832985386,1.6304801670146138,479,4
10044,0.41818181818181815,1.5818181818181818,55,8
10048,-0.07692307692307693,2.0,13,15
10065,0.7774193548387097,1.6338709677419354,1240,2
10069,1.2,1.6,20,0
10075,0.7315112540192926,1.5787781350482315,622,6
10128,0.6634036144578314,1.605421686746988,1328,4
10280,1.3333333333333333,1.6296296296296295,27,4
10281,0.0,1.0,5,6
10282,1.380952380952381,1.5714285714285714,21,0
10463,0.6410256410256411,1.8333333333333333,234,0
